"Reference","Value","Qty","Mouser Part Number","RS order number"
"BR1","ABS8","1","637-ABS8",""
"C1,C15","1nF 3kV","2","791-1812B102K302CT",""
"C2,C3,C28,C29","1uF 100V","4","810-C1608X7R2A105K08",""
"C4,C5,C6,C13,C21,C22,C25,C27,C34,C35,C36,C37,C38,C39,C40,C41,C44,C47,C48,C49","100nF","20","581-KGM15BR71H104KM","242-7372"
"C7,C8,C18,C31,C42,C43","1uF","6","963-UMK107BJ105KA-T","103-4112"
"C9","470pF","1","187-CL10C471JB81PNC",""
"C10,C11","3.5pF","2","80-CBR06C359B5GAC","103-4112"
"C12,C14","10nF 100V","2","581-06031C103K4T2A","135-6315"
"C16","68nF 100V","1","791-0603B683K101CT",""
"C17,C30","10uF","2","187-CL31A106MBHNNNE","172-1575"
"C19","10nF","1","80-C0603C103M5R3121","135-6315"
"C20,C33","4.7uF","2","187-CL21A475KBQNNNE","113-8707"
"C23,C24","47pF","2","791-0603N470J101CT","135-6508"
"C26","C_100nF_SMD_0603_50V","1","581-KGM15BR71H104KM","242-7372"
"C32","C_1nF_SMD_1812_3kV_10%","1","791-1812B102K302CT",""
"C45,C46","2.2uF","2","187-CL10A225KP8NNND","103-4112"
"D1","link/active","1","604-AP1608SGC","466-3706"
"D2","100Mbps","1","604-AP1608SGC","466-3706"
"D3","SMAJ58A","1","576-SMAJ58A",""
"D4,D7","B280-13-F","2","621-B280-13-F",""
"D5","UART_TX","1","604-AP1608SGC","466-3706"
"D6","UART_RX","1","859-LTST-C190KDKT10A","861-0090"
"D8","BAT54WS","1","637-BAT54WS","738-4844"
"D9","green","1","604-AP1608SGC","466-3706"
"D10","red","1","859-LTST-C190KDKT10A","861-0090"
"D11","yellow","1","604-APG1608SYKC/T","861-0087"
"FB1,FB2,FB3","BLM18P","3","81-BLM11P300S","724-1403"
"IC1","SHT40-CD1B-R3","1","403-SHT40-CD1B-R3",""
"IC2","MAX5969BETB+T","1","700-MAX5969BETB+T",""
"IC3,IC4","LV2862XLVDDCR","2","595-LV2862XLVDDCR",""
"J1","1149611","1","651-1149611",""
"J2","219320-0001","1","538-219320-0001",""
"J3","1990012","1","651-1990012",""
"J4","ARM-JTAG-SWD","1","200-FTSH10501FDVK","159-2372"
"L1","SDR0503-102KL","1","652-SDR0503-102KL",""
"L2","SRN2012T-6R8K","1","652-SRN2012T-6R8K",""
"Q1,Q2,Q3,Q4","DMN3404L","4","621-DMN3404L-7","751-4171"
"R1,R3,R16,R17","75Ohm","4","71-CRCW060375R0FKEAC ",""
"R2","619Ohm","1","603-RT0603FRE07619RL","125-1173"
"R4","24.9kOhm","1","594-MCT06030C2492FP5",""
"R5,R6,R7,R8","47Ohm","4","603-AC0603FR-1347RL","901-3513"
"R9,R10","270Ohm","2","603-RE0603FRE07270RL",""
"R11","12.1kOhm","1","603-RT0603FRE1012K1L",""
"R12,R20,R21,R22,R23,R25,R26,R27,R30,R31,R34,R36,R38,R40","10kOhm","14","652-CR0603FX-1002ELF","125-1173"
"R13","147kOhm","1","594-MCT06030C1473FP5",""
"R14,R15","27Ohm","2","603-RC0603FR-0727RL","213-2058"
"R18,R19","120Ohm","2","603-RC0603FR-07120RL","199-5452"
"R24","33kOhm","1","594-MCT06030C3302FP5",""
"R28,R29","5.1kOhm","2","303-0603SAF5101T5E",""
"R32,R33","4.7kOhm","2","652-CR0603FX-4701ELF","901-3581"
"R35,R37,R39","100Ohm","3","279-CRGH0603F100R","125-1172"
"S1","RESET","1","179-TS046673BK100SMT",""
"S2","CONNECT","1","179-TS046673BK100SMT",""
"T1","SM13126PEL","1","652-SM13126PEL",""
"U1","STM32F407V_E-G_Tx","1","511-STM32F407VGT6",""
"U2","LAN8720A","1","579-LAN8720ACPABC",""
"U3","FT230XS","1","895-FT230XS-R","757-0010"
"U4","AT24C512C","1","556-AT24C512C-SSHM-T","197-5331"
"Y1","CX2016FB25000C0FZZH1","1","581-CX2016FB25C0FZZH",""
